Tên	STT	Loại	Dân số (người)	Diện tích (km2)	Mật độ (người/km2)	Sáp nhập toàn bộ từ	Sáp nhập một phần từ	Giáp ranh	Full Address 1	Latitude 1	Longitude 1	SĐT
Phú Mỹ	103	Phường	78641	70.92	1108.87	Phường Mỹ Xuân (TP. Phú Mỹ), Phường Phú Mỹ (TP. Phú Mỹ)		phường Tân Thành, phường Tân Phước, xã Châu Pha, xã Thạnh An và tỉnh Đồng Nai	Số 412 Độc lập, phường Phú Mỹ	10.5905345	107.0480378	0908463468
Linh Xuân	80	Phường	158334	12.29	12883.16	Phường Linh Trung (TP. Thủ Đức), Phường Linh Xuân (TP. Thủ Đức)	Phường Linh Tây (TP. Thủ Đức)	phường Thủ Đức, phường Hiệp Bình, phường Tam Bình, phường Tăng Nhơn Phú, phường Long Bình và phường Dĩ An, phường Đông Hoà	Số 1262 Kha Vạn Cân, phường Linh Xuân	10.8784283	106.7662791	0908506699
Tân Hoà	125	Phường	93437	1.47	63562.59	Phường 6 (Quận Tân Bình), Phường 8 (Quận Tân Bình), Phường 9 (Quận Tân Bình)		phường Tân Sơn Nhất, phường Bảy Hiền, phường Diên Hồng, phường Hoà Hưng, phường Hoà Bình, phường Phú Thọ	Số 356A Bắc Hải, phường Tân Hòa	10.7860657	106.6639307	0908899947
An Nhơn	7	Phường	111498	3.23	34519.5	Phường 5 (Quận Gò Vấp), Phường 6 (Quận Gò Vấp)		phường Hạnh Thông, phường Gò Vấp, phường An Phú Đông, phường Bình Lợi Trung	Số 1C Nguyễn Văn Lượng, phường An Nhơn	10.83900445	106.6815397	0909425079
Tây Thạnh	144	Phường	72616	3.95	18383.8	Phường Tây Thạnh (Quận Tân Phú)	Phường Sơn Kỳ (Quận Tân Phú)	phường Tân Sơn Nhì, phường Tân Sơn, phường Đông Hưng Thuận, phường Bình Hưng Hoà và phường Tân Bình	Số 200/12 Nguyễn Hữu Tiến, phường Tây Thạnh	10.8131847	106.6236711	0909756139
Chợ Quán	53	Phường	63545	1.28	49644.53	Phường 1 (Quận 5), Phường 2 (Quận 5), Phường 4 (Quận 5)		phường An Đông, phường Cầu Ông Lãnh, phường Vườn Lài, phường Chánh Hưng, phường Vĩnh Hội và phường Bàn Cờ	Số 53 A Trần Phú, phường Chợ Quán	10.7586651	106.6765278	0909846555
Phước Hải	109	Xã	43615	70.44	619.18	Thị trấn Phước Hải, Xã Phước Hội (H. Long Đất)		xã Đất Đỏ, xã Long Điền, xã Long Hải, xã Hồ Tràm và Biển Đông	Ấp Hội Mỹ, xã Phước Hải	10.45067484	107.2825018	0909853122
Trừ Văn Thố	157	Xã	24533	76.56	320.43	Xã Trừ Văn Thố (H. Bàu Bàng), Xã Cây Trường II (H. Bàu Bàng)	Thị trấn Lai Uyên (H. Bàu Bàng)	xã An Long, xã Long Hoà, xã Bàu Bàng và tỉnh Đồng Nai	Đường ĐT750, xã Trừ Văn Thố	11.344819	106.578509	0911944527
Bàu Bàng	16	Xã	42219	84.09	502.07		Thị trấn Lai Uyên (H. Bàu Bàng)	xã An Long, xã Long Hoà, xã Trừ Văn Thố, phường Bến Cát và phường Long Nguyên	Đường N17-5A, xã Bàu Bàng	11.2471068	106.6369696	0913473975
Bình Trị Đông	41	Phường	165142	7.15	23096.78	Phường Bình Trị Đông (Quận Bình Tân)	Phường Bình Trị Đông A (Quận Bình Tân), Phường Bình Hưng Hoà A (Quận Bình Tân)	phường Bình Tân, phường Bình Hưng Hoà, phường An Lạc, phường Tân Tạo, phường Phú Lâm và phường Phú Thạnh	Số 162 Mã Lò, phường Bình Trị Đông	10.7645522	106.6043003	0913734378
Rạch Dừa	114	Phường	76281	19.7	3872.13	Phường 10, Phường Thắng Nhất, Phường Rạch Dừa (TP. Vũng Tàu)		phường Phước Thắng, phường Tam Thắng và Biển Đông	Số 219/28 Lưu Chí Hiếu, phường Rạch Dừa	10.38114379	107.1177969	0913793333
Thuận Giao	155	Phường	150781	16.81	8969.72	Phường Thuận Giao (TP. Thuận An)	Phường Bình Chuẩn (TP. Thuận An)	phường An Phú, phường Thuận An, phường Phú Lợi, phường Lái Thiêu, phường Bình Hoà và phường Tân Khánh	Đường Thủ Khoa Huân, phường Thuận Giao	10.9824581	106.7212357	0913860950
Bàu Lâm	17	Xã	22567	123.83	182.24	Xã Tân Lâm (H. Xuyên Mộc), Xã Bàu Lâm (H. Xuyên Mộc)		xã Hoà Hiệp, xã Hoà Hội, xã Xuân Sơn và tỉnh Đồng Nai	Ấp 2 Đông, xã Bàu Lâm	10.6858399	107.3891395	0914808019
Tây Nam	143	Phường	56784	119.8	474	Phường An Tây (TP. Bến Cát)	Xã Thanh Tuyền (H. Dầu Tiếng), Xã An Lập (H. Dầu Tiếng)	phường Long Nguyên, phường Phú An, xã Thanh An, xã An Nhơn Tây, xã Nhuận Đức và xã Phú Hoà Đông	Đường ĐT744, phường Tây Nam	11.0929937	106.5404605	0914924982
Long Điền	82	Xã	48048	51.44	934.06	Thị trấn Long Điền, Xã Tam An (H. Long Đất)		phường Bà Rịa, phường Tam Long, phường Phước Thắng, xã Đất Đỏ, xã Phước Hải và xã Long Hải	Số 1939, Quốc lộ 55, xã Long Điền	10.4785109	107.2160292	0917815079
An Khánh	4	Phường	76967	15.33	5020.68	Phường An Khánh (TP. Thủ Đức), Phường An Lợi Đông (TP. Thủ Đức), Phường Thảo Điền (TP. Thủ Đức), Phường Thủ Thiêm (TP. Thủ Đức)	Phường An Phú (TP. Thủ Đức)	phường Bình Trưng, phường Thủ Đức, phường Sài Gòn, phường Xóm Chiếu, phường Tân Thuận, phường Thạnh Mỹ Tây và phường Bình Quới	Số 171/1 Lương Định Của, phường An Khánh	10.0311846	105.7556564	0918010000
Tân Bình	120	Phường	89373	2.12	42157.08	Phường 13 (Quận Tân Bình), Phường 14 (Quận Tân Bình)	Phường 15 (Quận Tân Bình)	phường Tân Sơn, phường Bảy Hiền, phường Tân Sơn Hoà, phường Tây Thạnh, phường Tân Sơn Nhì và phường Tân Phú	Số 387A Trường Chinh, phường Tân Bình	10.80170392	106.6424931	0918224417
Long Bình	81	Phường	119637	29.43	4065.14	Phường Long Bình (TP. Thủ Đức)	Phường Long Thạnh Mỹ (TP. Thủ Đức)	phường Tăng Nhơn Phú, phường Linh Xuân, phường Long Phước, phường Đông Hoà và tỉnh Đồng Nai	Số 325 Nguyễn Văn Tăng, phường Long Bình	10.8418744	106.8237487	0918348012
An Long	6	Xã	17906	100.04	179	Xã An Linh (H. Phú Giáo), Xã An Long (H. Phú Giáo), Xã Tân Long (H. Phú Giáo)		xã Phước Thành, xã Bàu Bàng, xã Trừ Văn Thố, xã Phước Hoà, phường Bến Cát, phường Chánh Phú Hoà và tỉnh Đồng Nai	Số 231, đường ĐT 741C, xã An Long	11.3522076	106.6876259	0918660692
Tam Bình	116	Phường	153414	10.71	14324.07	Phường Bình Chiểu (TP. Thủ Đức), Phường Tam Bình (TP. Thủ Đức), Phường Tam Phú (TP. Thủ Đức)		phường Linh Xuân, phường Hiệp Bình, phường An Phú Đông và phường Bình Hoà, phường Dĩ An	Số 707 Tỉnh lộ 43, phường Tam Bình	10.8685257	106.7348102	0918673616
Bình Khánh	30	Xã	35482	158.28	224.17	Xã Bình Khánh (H. Cần Giờ), Xã Tam Thôn Hiệp (H. Cần Giờ)	Xã An Thới Đông (H. Cần Giờ)	xã An Thới Đông, xã Cần Giờ, xã Thạnh An, xã Nhà Bè, xã Hiệp Phước và tỉnh Đồng Nai	Ấp Bình An 1, xã Bình Khánh	10.64380989	106.7867056	0919134505
Tân Hưng	126	Phường	153674	8.54	17994.61	Phường Tân Phong (Quận 7), Phường Tân Hưng (Quận 7), Phường Tân Kiểng (Quận 7), Phường Tân Quy (Quận 7)		phường Tân Mỹ, phường Tân Thuận, phường Khánh Hội, phường Xóm Chiếu, phường Vĩnh Hội, phường Chánh Hưng, xã Bình Hưng và xã Nhà Bè	Số 9 đường 2A phường Tân Hưng	10.7443766	106.6981243	0919404656
Thới Hoà	150	Phường	79601	37.93	2098.6	Phường Thời Hoà (TP. Bến Cát) (giữ nguyên)		phường Hoà Lợi, phường Long Nguyên, phường Phú An, phường Bến Cát và phường Chánh Phú Hoà	Đường Quốc lộ 13, phường Thời Hòa	11.0904975	106.625881	0919450975
Phú Thọ Hoà	107	Phường	140436	3.02	46501.99	Phường Phú Thọ Hoà (Quận Tân Phú)	Phường Tân Quý (Quận Tân Phú), Phường Tân Thành (Quận Tân Phú)	phường Tân Sơn Nhì, phường Phú Thạnh, phường Tân Phú và phường Bình Hưng Hoà	Số 146 Độc Lập, phường Phú Thọ Hòa	10.7923015	106.6333612	0934111986
Tân Tạo	136	Phường	113363	14.71	7706.53		Phường Tân Tạo A (Quận Bình Tân), Phường Tân Tạo (Quận Bình Tân), Xã Tân Kiên (Huyện Bình Chánh)	phường An Lạc, phường Bình Trị Đông, phường Bình Tân, xã Bình Lợi và xã Tân Nhựt	Số 1409 Tỉnh lộ 10, phường Tân Tạo	10.7564917	106.5869855	0935123236
Đông Thạnh	62	Xã	190400	30.16	6312.99	Xã Đông Thạnh (H. Hóc Môn), Xã Nhị Bình (H. Hóc Môn), Xã Thới Tam Thôn (H. Hóc Môn)		Xã Bà Điểm, xã Hóc Môn, xã Bình Mỹ, phường Trung Mỹ Tây, phường Thới An, phường Tân Thới Hiệp, phường An Phú Đông, phường Thuận An và phường Lái Thiêu	Số 250 ấp 54, đường Đặng Thúc Vịnh, xã Đông Thạnh	10.9044927	106.6358119	0938004411
An Hội Đông	2	Phường	123681	3.29	37593.01	Phường 15 (Quận Gò Vấp), Phường 16 (Quận Gò Vấp)		phường An Hội Tây, phường Thông Tây Hội, phường Gò Vấp, phường Thới An và phường An Phú Đông	Số 330 (Số cũ 182) Thống Nhất, phường An Hội Đông	10.8421733	106.6650622	0938020280
An Đông	1	Phường	81229	1.32	61537.12	Phường 5 (Quận 5), Phường 7 (Quận 5), Phường 9 (Quận 5)		phường Chợ Quán, phường Chợ Lớn, phường Chánh Hưng, phường Diên Hồng, phường Vườn Lài và phường Phú Định	Số 45 Phước Hưng, phường An Đông	10.75610073	106.668336	0938801979
Long Hải	83	Xã	109149	27.93	3907.95	Thị trấn Long Hải, Xã Phước Tỉnh, Xã Phước Hưng (H. Long Đất)		phường Phước Thắng, xã Long Điền, xã Phước Hải và Biển Đông	Số 45, Hương lộ 5, xã Long Hải	10.4039922	107.2302382	0938893636
An Thới Đông	11	Xã	22607	257.85	87.68	Xã Lý Nhơn (H. Cần Giờ)	Xã An Thới Đông (H. Cần Giờ)	xã Bình Khánh, xã Cần Giờ, xã Hiệp Phước, tỉnh Tây Ninh, tỉnh Tiền Giang và Biển Đông	Ấp An Hòa 1, xã An Thới Đông	10.59040785	106.7894046	0949093902
An Phú	9	Phường	162930	16.85	9669.44	Phường An Phú (TP. Thuận An)	Phường Bình Chuẩn (TP. Thuận An)	phường Tân Đông Hiệp, phường Thuận Giao, phường Bình Hoà, phường Dĩ An và phường Tân Khánh	Đường ĐT743, phường An Phú	10.95022294	106.7417374	0949552608
