Tên	STT	Loại	Dân số (người)	Diện tích (km2)	Mật độ (người/km2)	Sáp nhập toàn bộ từ	Sáp nhập một phần từ	Giáp ranh	Full Address 1	Latitude 1	Longitude 1	SĐT
Long Hương	85	Phường	31457	41.22	763.15	Phường Kim Dinh (TP. Bà Rịa), Phường Long Hương (TP. Bà Rịa), Xã Tân Hưng (TP. Bà Rịa)		phường Bà Rịa, phường Tam Long, phường Tân Hải, phường Phước Thắng, xã Long Sơn, xã Châu Pha và xã Nghĩa Thành	Đường Trịnh Đình Thảo, phường Long Hương	10.50563727	107.1337471	0823683968
Tân An Hội	119	Xã	84342	53.51	1576.2	Xã Phước Hiệp (H. Củ Chi), Xã Tân An Hội (H. Củ Chi), Thị trấn Củ Chi (H. Củ Chi)		xã Củ Chi, xã Thái Mỹ, xã Nhuận Đức và tỉnh Tây Ninh	Số 77 Tỉnh lộ 8, xã Tân An Hội	10.973855	106.4938982	0901404999
Bình Chánh	21	Xã	76187	21.33	3571.82	Xã Bình Chánh (H. Bình Chánh), Xã Tân Quý Tây (H. Bình Chánh)	Xã An Phú Tây (H. Bình Chánh)	xã Tân Nhựt, xã Bình Hưng, xã Hưng Long, phường Bình Đông và tỉnh Tây Ninh	Số 345, đường Trịnh Như Khuê, xã Bình Chánh	10.6630417	106.5672462	0901481788
Củ Chi	55	Xã	128661	64.88	1983.06	Xã Tân Phú Trung (H. Củ Chi), Xã Tân Thông Hội (H. Củ Chi), Xã Phước Vĩnh An (H. Củ Chi)		xã Tân An Hội, xã Nhuận Đức, xã Phú Hoà Đông, xã Hóc Môn, xã Xuân Thới Sơn và tỉnh Tây Ninh	Số 342 Phan Văn Khải, ấp Đình, xã Củ Chi	10.9400336	106.5397514	0907279579
Nhuận Đức	96	Xã	40239	62.06	648.4	Xã Nhuận Đức (H. Củ Chi), Xã Trung Lập Hạ (H. Củ Chi), Xã Phạm Văn Cội (H. Củ Chi)		xã Thái Mỹ, xã Tân An Hội, xã Củ Chi, xã Phú Hoà Đông, xã An Nhơn Tây và phường Tây Nam	Số 1A Bà Thiên, ấp Ngã Tư, xã Nhuận Đức	11.0340967	106.4870629	0908169934
Tân Nhựt	129	Xã	115513	43.67	2645.13	Xã Tân Nhựt (H. Bình Chánh), Thị trấn Tân Túc (H. Bình Chánh)	Xã Tân Kiên (H. Bình Chánh), Phường Tân Tạo A (Quận Bình Tân), Phường 16 (Quận 8)	xã Bình Lợi, xã Bình Chánh, phường Phú Định, phường Bình Đông, phường An Lạc, phường Tân Tạo và tỉnh Tây Ninh	Số 79, đường Tân Túc, xã Tân Nhựt	10.6900171	106.5843712	0908856970
Hưng Long	76	Xã	71504	35.54	2012.21	Xã Hưng Long (H. Bình Chánh), Xã Qui Đức (H. Bình Chánh), Xã Đa Phước (H. Bình Chánh)		xã Bình Chánh, xã Bình Hưng, xã Hiệp Phước và tỉnh Tây Ninh	Số 564 Đoàn Nguyễn Tuấn, xã Hưng Long	10.6502447	106.6245691	0909501338
Tân Vĩnh Lộc	141	Xã	163839	34.05	4811.72	Xã Vĩnh Lộc B (H. Bình Chánh)	Xã Phạm Văn Hai (H. Bình Chánh), Phường Tân Tạo (Quận Bình Tân)	xã Vĩnh Lộc, xã Bình Lợi, phường Bình Tân và tỉnh Tây Ninh	Số 2206 đường Trần Văn Giàu, xã Tân Vĩnh Lộc	10.7983643	106.5605511	0909539800
An Nhơn Tây	8	Xã	40896	77.7	526.33	Xã Phú Mỹ Hưng (H. Củ Chi), Xã An Phú (H. Củ Chi), Xã An Nhơn Tây (H. Củ Chi)		xã Thái Mỹ, xã Nhuận Đức, phường Tây Nam và tỉnh Tây Ninh	Số 1407 Tỉnh lộ 7, ấp Chợ Củ 2, xã An Nhơn Tây	11.0874741	106.5127207	0913133727
Hồ Tràm	69	Xã	51895	94.51	549.09	Thị trấn Phước Bửu, Xã Phước Tân, Xã Phước Thuận (H. Xuyên Mộc)		xã Phước Hải, xã Đất Đỏ, xã Xuân Sơn, xã Hoà Hội, xã Xuyên Mộc và Biển Đông	Hẻm 147, Quốc lộ 55, xã Hồ Tràm	10.5379094	107.4063143	0918509160
Tân Đông Hiệp	122	Phường	100243	21.47	4668.98	Phường Tân Bình (TP. Dĩ An)	Phường Tân Đông Hiệp (TP. Dĩ An), Phường Thái Hoà (TP. Tân Uyên)	phường An Phú, phường Dĩ An, phường Đông Hoà, phường Tân Khánh và tỉnh Đồng Nai	Số 880, đường Nguyễn Thị Minh Khai, phường Tân Đông Hiệp	10.9367945	106.7661299	0918699011
Vĩnh Lộc	160	Xã	167521	30.55	5483.5	Xã Vĩnh Lộc A (H. Bình Chánh)	Xã Phạm Văn Hai (H. Bình Chánh)	xã Tân Vĩnh Lộc, phường Bình Tân, xã Bà Điểm, xã Xuân Thới Sơn và tỉnh Tây Ninh	F7/16 Hương lộ 80, xã Vĩnh Lộc	10.81346	106.5786221	0919389207
Bình Hưng	28	Xã	183697	32.63	5630.98	Xã Bình Hưng (H. Bình Chánh), Xã Phong Phú (H. Bình Chánh)	Phường 7 (Quận 8)	xã Hưng Long, xã Bình Chánh, xã Tân Nhựt, phường Chánh Hưng, phường Bình Đông, phường Tân Hưng, xã Nhà Bè, xã Hiệp Phước	A10/26A đường Số 10, Khu dân cư Bình Hưng, xã Bình Hưng	10.7200104	106.6703963	0931869938
Bình Lợi	31	Xã	47180	54.18	870.8	Xã Bình Lợi (H. Bình Chánh), Xã Lê Minh Xuân (H. Bình Chánh)		xã Tân Vĩnh Lộc, xã Tân Nhựt, phường Bình Tân, phường Tân Tạo và tỉnh Tây Ninh	Số 1905, đường Trần Văn Giàu, xã Bình Lợi	10.7773582	106.5375054	0937048567
Chánh Phú Hoà	49	Phường	53916	69.54	775.33	Phường Chánh Phú Hoà (TP. Bến Cát), Xã Hưng Hoà (H. Bàu Bàng)		phường Vĩnh Tân, phường Bến Cát, phường Hoà Lợi, phường Thới Hoà, xã Phước Hoà và xã An Long	Đường Nguyễn Văn Thành, phường Chánh Phú Hòa	11.1440989	106.6698861	0938882779
